Unnamed: 0,0,1,2,3,4,5,6,Model,baseS1,SignS1,baseS2,SignS2,diff_base1_emb,diff_base2_emb,indTarget,diff_base1,diff_base2
0,0,1,-0.0439723506569862,-0.0445014834403991,2,-0.04575876891613,-0.0491140633821487,GPT2 WordLevel,-0.0439723506569862,-0.0445014834403991,-0.04575876891613,-0.0491140633821487,-0.012033306737237882,-0.07332571538732882,0,0.128014842300557,0.285714285714286
1,1,1,-0.0728987380862236,-0.0666171610355377,2,-0.0900963321328163,-0.0783867835998535,GPT2 WordLevel,-0.0728987380862236,-0.0666171610355377,-0.0900963321328163,-0.0783867835998535,0.08616852932702533,0.1299669837358203,1,0.368039664378337,0.103114930182599
2,2,1,-0.0619478821754455,-0.0529014430940151,2,-0.0819691941142082,-0.0809755399823188,GPT2 WordLevel,-0.0619478821754455,-0.0529014430940151,-0.0819691941142082,-0.0809755399823188,0.14603306463019278,0.012122287435264207,2,0.324414715719064,-0.0017221584385763
3,3,1,-0.0378924161195755,-0.0447667688131332,2,-0.080803781747818,-0.099822424352169,GPT2 WordLevel,-0.0378924161195755,-0.0447667688131332,-0.080803781747818,-0.099822424352169,-0.1814176396634248,-0.23536822402330912,3,0.120493358633776,0.0161290322580645
4,4,1,-0.011020528152585,-0.0127190835773944,2,-0.0901306569576263,-0.0652679800987243,GPT2 WordLevel,-0.011020528152585,-0.0127190835773944,-0.0901306569576263,-0.0652679800987243,-0.1541264993194526,0.2758514993471184,4,-0.0177777777777778,0.259259259259259
5,5,1,-0.0476367399096488,-0.0384334474802017,2,-0.06857181340456,-0.06462262570858,GPT2 WordLevel,-0.0476367399096488,-0.0384334474802017,-0.06857181340456,-0.06462262570858,0.19319736083751138,0.057591997351456696,5,0.236128493950772,0.0802139037433155
6,6,1,-0.0884910523891449,-0.0750154703855514,2,-0.1217156052589416,-0.0955405458807945,GPT2 WordLevel,-0.0884910523891449,-0.0750154703855514,-0.1217156052589416,-0.0955405458807945,0.15228185946228542,0.2150509733116099,6,0.180387409200969,0.0089730807577268
7,7,1,-0.0991724729537963,-0.099856898188591,2,-0.1708021461963653,-0.152953952550888,GPT2 WordLevel,-0.0991724729537963,-0.099856898188591,-0.1708021461963653,-0.152953952550888,-0.006901362993273027,0.10449630782131886,7,0.108695652173913,0.521739130434783
8,8,1,-0.0735731422901153,-0.0638013035058975,2,-0.0998441129922866,-0.0940516293048858,GPT2 WordLevel,-0.0735731422901153,-0.0638013035058975,-0.0998441129922866,-0.0940516293048858,0.13281801592332795,0.058015275150456784,8,0.300710770913067,0.075366568914956
9,9,1,-0.1026898026466369,-0.0835167467594146,2,-0.1667970567941665,-0.1561215370893478,GPT2 WordLevel,-0.1026898026466369,-0.0835167467594146,-0.1667970567941665,-0.1561215370893478,0.1867084695176421,0.0640030460369134,9,0.154865713289152,0.225409836065574
10,10,1,-0.081514723598957,-0.0755827128887176,2,-0.1315030604600906,-0.1213335692882537,GPT2 WordLevel,-0.081514723598957,-0.0755827128887176,-0.1315030604600906,-0.1213335692882537,0.07277226062158065,0.07733273382578963,10,0.1525,0.268196721311475
11,11,1,-0.0398804098367691,-0.0484914295375347,2,-0.1102477759122848,-0.0896500945091247,GPT2 WordLevel,-0.0398804098367691,-0.0484914295375347,-0.1102477759122848,-0.0896500945091247,-0.21592104333958928,0.18683081116800032,11,0.14484126984127,0.290816326530612
12,12,1,-0.0755657106637954,-0.0645604729652404,2,-0.066218115389347,-0.0432858690619468,GPT2 WordLevel,-0.0755657106637954,-0.0645604729652404,-0.066218115389347,-0.0432858690619468,0.145637983178894,0.3463137872856085,12,0.429122807017544,0.182782537739698
13,13,1,-0.0865450948476791,-0.0901027396321296,2,-0.0085570635274052,-0.0316230580210685,GPT2 WordLevel,-0.0865450948476791,-0.0901027396321296,-0.0085570635274052,-0.0316230580210685,-0.04110741100592727,-2.695550222315308,13,-0.0181818181818182,0.232142857142857
14,14,1,-0.0632053390145301,-0.0564756691455841,2,-0.0913580209016799,-0.0941005051136016,GPT2 WordLevel,-0.0632053390145301,-0.0564756691455841,-0.0913580209016799,-0.0941005051136016,0.1064731235346896,-0.0300190851865452,14,0.411485524442335,0.137579169598874
15,15,1,-0.1048436686396598,-0.1224707067012786,2,-0.0334920324385166,-0.0438393875956535,GPT2 WordLevel,-0.1048436686396598,-0.1224707067012786,-0.0334920324385166,-0.0438393875956535,-0.16812687204032964,-0.30894975323256885,15,0.107131435881036,0.338559322033898
16,16,1,-0.0982204750180244,-0.0888352841138839,2,-0.0637195482850074,-0.0446635782718658,GPT2 WordLevel,-0.0982204750180244,-0.0888352841138839,-0.0637195482850074,-0.0446635782718658,0.09555228583875437,0.29906002986567437,16,0.207221860767729,0.250615763546798
17,17,1,-0.0732021629810333,-0.0603109896183013,2,-0.0918926298618316,-0.0907397121191024,GPT2 WordLevel,-0.0732021629810333,-0.0603109896183013,-0.0918926298618316,-0.0907397121191024,0.1761037220453732,0.01254635703062053,17,0.108139200460167,0.266078184110971
18,18,1,-0.1165222078561782,-0.1134296804666519,2,-0.1089740544557571,-0.0996395722031593,GPT2 WordLevel,-0.1165222078561782,-0.1134296804666519,-0.1089740544557571,-0.0996395722031593,0.02654024023766665,0.08565784121015288,18,0.017825311942959,0.109090909090909
19,19,1,-0.0906243771314621,-0.0868934541940689,2,-0.0444401428103446,-0.0332662872970104,GPT2 WordLevel,-0.0906243771314621,-0.0868934541940689,-0.0444401428103446,-0.0332662872970104,0.04116908778287135,0.2514360847358302,19,0.254545454545455,0.191465677179963
20,20,1,-0.1327414214611053,-0.1069496721029281,2,-0.0925704687833786,-0.0732602253556251,GPT2 WordLevel,-0.1327414214611053,-0.1069496721029281,-0.0925704687833786,-0.0732602253556251,0.19430068681112062,0.20860047141967952,20,0.16271186440678,0.207407407407407
21,21,1,-0.1237658411264419,-0.1103394031524658,2,-0.1098869517445564,-0.0937668830156326,GPT2 WordLevel,-0.1237658411264419,-0.1103394031524658,-0.1098869517445564,-0.0937668830156326,0.10848258171864521,0.1466968413719999,21,0.114102564102564,0.316666666666667
22,22,1,-0.1015086472034454,-0.0967026725411415,2,-0.0211669839918613,-0.0147555330768227,GPT2 WordLevel,-0.1015086472034454,-0.0967026725411415,-0.0211669839918613,-0.0147555330768227,0.04734547050628792,0.3028986518581863,22,0.252902757619739,-0.0201471058522545
23,23,1,-0.1312208622694015,-0.1458841562271118,2,-0.0545852109789848,-0.0582501180469989,GPT2 WordLevel,-0.1312208622694015,-0.1458841562271118,-0.0545852109789848,-0.0582501180469989,-0.11174514253386009,-0.06714102597176157,23,0.124113475177305,0.155945419103314
24,24,1,-0.0943294912576675,-0.0539156459271907,2,-0.0950455516576767,-0.0671013668179512,GPT2 WordLevel,-0.0943294912576675,-0.0539156459271907,-0.0950455516576767,-0.0671013668179512,0.4284327710417053,0.2940083397103254,24,0.297619047619048,0.516666666666667
25,25,1,-0.0648402348160743,-0.0634216517210006,2,-0.0705963969230651,-0.066614493727684,GPT2 WordLevel,-0.0648402348160743,-0.0634216517210006,-0.0705963969230651,-0.066614493727684,0.021878130131663624,0.05640377369004437,25,0.129761904761905,-0.068609022556391
26,26,1,-0.0435049384832382,-0.0291826725006103,2,-0.0684510990977287,-0.0672840848565101,GPT2 WordLevel,-0.0435049384832382,-0.0291826725006103,-0.0684510990977287,-0.0672840848565101,0.32921011917178217,0.017048875132778075,26,0.0784313725490196,0.0717022441160372
27,27,1,-0.0642333626747131,-0.0606780871748924,2,-0.0744783207774162,-0.0716414377093315,GPT2 WordLevel,-0.0642333626747131,-0.0606780871748924,-0.0744783207774162,-0.0716414377093315,0.05534935976846047,0.03809005141996866,27,-0.0392156862745098,0.128946493851778
28,28,1,-0.0578426346182823,-0.0573281198740005,2,-0.0285462066531181,-0.0102591104805469,GPT2 WordLevel,-0.0578426346182823,-0.0573281198740005,-0.0285462066531181,-0.0102591104805469,0.008895077958969284,0.6406138789222876,28,0.143633540372671,0.12750626566416
29,29,1,-0.0569317601621151,-0.0494324080646038,2,-0.0314794741570949,-0.0245116874575614,GPT2 WordLevel,-0.0569317601621151,-0.0494324080646038,-0.0314794741570949,-0.0245116874575614,0.13172528086531388,0.22134380850078744,29,0.292529817953547,0.0562962962962963
30,30,1,-0.0769777745008468,-0.0554729774594306,2,-0.0668223649263382,-0.0582614801824092,GPT2 WordLevel,-0.0769777745008468,-0.0554729774594306,-0.0668223649263382,-0.0582614801824092,0.2793637147976996,0.12811406410662218,30,0.139423076923077,0.142857142857143
31,31,1,-0.0423277914524078,0.0295019596815109,2,-0.0179039314389228,-0.0307385716587305,GPT2 WordLevel,-0.0423277914524078,0.0295019596815109,-0.0179039314389228,-0.0307385716587305,1.6969879284791434,-0.7168615599088725,31,0.262033898305085,0.0842857142857143
32,32,1,0.0191993098706007,0.0296353548765182,2,-0.0813978165388107,-0.0597529113292694,GPT2 WordLevel,0.0191993098706007,0.0296353548765182,-0.0813978165388107,-0.0597529113292694,0.5435635487032734,0.2659150592721483,32,0.217194570135747,-0.0444711538461539
33,33,1,0.0525110475718975,0.0497015789151191,2,-0.0359694957733154,-0.030987162142992,GPT2 WordLevel,0.0525110475718975,0.0497015789151191,-0.0359694957733154,-0.030987162142992,-0.05350243018731834,0.1385155260925185,33,0.314340588988476,-0.0331278890600925
34,34,1,-0.0664874464273452,-0.0463985167443752,2,-0.1186165064573288,-0.0963207483291626,GPT2 WordLevel,-0.0664874464273452,-0.0463985167443752,-0.1186165064573288,-0.0963207483291626,0.30214620597472297,0.18796505473027814,34,0.153743315508021,0.0784313725490196
35,35,1,-0.0295446272939443,-0.0338360853493213,2,-0.0612717680633068,-0.0596121996641159,GPT2 WordLevel,-0.0295446272939443,-0.0338360853493213,-0.0612717680633068,-0.0596121996641159,-0.14525341655796126,0.02708536821519847,35,0.192006269592476,0.187062937062937
36,36,1,-0.0504800528287887,-0.047180064022541,2,-0.1607819497585296,-0.1594077199697494,GPT2 WordLevel,-0.0504800528287887,-0.047180064022541,-0.1607819497585296,-0.1594077199697494,0.06537213456254003,0.00854716459679771,36,0.194078947368421,0.235338345864662
37,37,1,-0.0453583821654319,-0.0296999737620353,2,-0.0741781219840049,-0.0604303479194641,GPT2 WordLevel,-0.0453583821654319,-0.0296999737620353,-0.0741781219840049,-0.0604303479194641,0.3452153197679532,0.18533462019307057,37,0.0778529980657641,0.211063829787234
38,38,1,-0.0132590532302856,-0.0301797185093164,2,-0.0807860940694809,-0.0550485774874687,GPT2 WordLevel,-0.0132590532302856,-0.0301797185093164,-0.0807860940694809,-0.0550485774874687,-1.2761593897505101,0.31858845112472434,38,-0.0090909090909091,0.515856236786469
39,39,1,-0.0336780622601509,-0.0195670425891876,2,-0.1180706694722175,-0.0877143219113349,GPT2 WordLevel,-0.0336780622601509,-0.0195670425891876,-0.1180706694722175,-0.0877143219113349,0.4189973746696219,0.2571032051954747,39,0.0629074315514994,0.305690072639225
40,40,1,-0.1222932264208793,-0.1104479953646659,2,-0.1023854464292526,-0.0857357382774353,GPT2 WordLevel,-0.1222932264208793,-0.1104479953646659,-0.1023854464292526,-0.0857357382774353,0.09685925707321955,0.16261791819525923,40,0.243225158916025,0.167755102040816
41,41,1,-0.0603329092264175,-0.0243632420897483,2,-0.0784536600112915,-0.0735492259263992,GPT2 WordLevel,-0.0603329092264175,-0.0243632420897483,-0.0784536600112915,-0.0735492259263992,0.5961865190634541,0.06251377034782604,41,0.370612244897959,0.0592857142857143
42,42,1,-0.0396117195487022,-0.0470421500504016,2,-0.0057869777083396,0.0090654119849205,GPT2 WordLevel,-0.0396117195487022,-0.0470421500504016,-0.0057869777083396,0.0090654119849205,-0.1875816194387563,2.5665192509479264,42,0.200206398348813,0.203252032520325
43,43,1,-0.1242960020899772,-0.1195516288280487,2,-0.0573861896991729,-0.0624204240739345,GPT2 WordLevel,-0.1242960020899772,-0.1195516288280487,-0.0573861896991729,-0.0624204240739345,0.03816995866443124,-0.08772553816783832,43,0.236702127659574,0.341346153846154
44,44,1,-0.0314224474132061,-0.0299100968986749,2,-0.0771431326866149,-0.0464218407869339,GPT2 WordLevel,-0.0314224474132061,-0.0299100968986749,-0.0771431326866149,-0.0464218407869339,0.048129621943311676,0.3982375466197712,44,0.107142857142857,0.0035714285714285
45,45,1,-0.0716753825545311,-0.0640571787953376,2,-0.0886045694351196,-0.0773423314094543,GPT2 WordLevel,-0.0716753825545311,-0.0640571787953376,-0.0886045694351196,-0.0773423314094543,0.10628759118791622,0.12710674062822497,45,0.0818428184281843,0.102083333333333
46,46,1,-0.1056013852357864,-0.0905867144465446,2,-0.0652985721826553,-0.0569503754377365,GPT2 WordLevel,-0.1056013852357864,-0.0905867144465446,-0.0652985721826553,-0.0569503754377365,0.14218251735729684,0.1278465434369217,46,0.0089605734767025,0.407692307692308
0,0,1,-0.0769820660352706,-0.0464975014328956,2,-0.0844831317663192,-0.0607169494032859,GPT2 base,-0.0769820660352706,-0.0464975014328956,-0.0844831317663192,-0.0607169494032859,0.39599566720394325,0.28131275280810725,0,0.128014842300557,0.285714285714286
1,1,1,-0.0912978574633598,-0.0804653391242027,2,-0.0476161688566207,-0.0543011203408241,GPT2 base,-0.0912978574633598,-0.0804653391242027,-0.0476161688566207,-0.0543011203408241,0.11865030177191699,-0.14039246845609893,1,0.368039664378337,0.103114930182599
2,2,1,-0.0805202275514602,-0.0452148467302322,2,-0.1138253211975097,-0.1025160253047943,GPT2 base,-0.0805202275514602,-0.0452148467302322,-0.1138253211975097,-0.1025160253047943,0.4384659841983737,0.09935659107951479,2,0.324414715719064,-0.0017221584385763
3,3,1,-0.0129170482978224,-0.0162085592746734,2,-0.0606465190649032,-0.0689800903201103,GPT2 base,-0.0129170482978224,-0.0162085592746734,-0.0606465190649032,-0.0689800903201103,-0.25481912747867425,-0.13741219419846018,3,0.120493358633776,0.0161290322580645
4,4,1,-0.0121181365102529,-0.0056111421436071,2,-0.0717246904969215,-0.05504010617733,GPT2 base,-0.0121181365102529,-0.0056111421436071,-0.0717246904969215,-0.05504010617733,0.5369632831863521,0.2326198161887867,4,-0.0177777777777778,0.259259259259259
5,5,1,-0.0628630593419075,-0.0376456379890441,2,-0.0058668442070484,0.0051397085189819,GPT2 base,-0.0628630593419075,-0.0376456379890441,-0.0058668442070484,0.0051397085189819,0.4011484903352814,1.8760601675440909,5,0.236128493950772,0.0802139037433155
6,6,1,-0.1024168506264686,-0.1131900399923324,2,-0.1396010518074035,-0.1185524389147758,GPT2 base,-0.1024168506264686,-0.1131900399923324,-0.1396010518074035,-0.1185524389147758,-0.10518961772370276,0.15077689329781557,6,0.180387409200969,0.0089730807577268
7,7,1,-0.1321218907833099,-0.1309790611267089,2,-0.1590111404657364,-0.1317159980535507,GPT2 base,-0.1321218907833099,-0.1309790611267089,-0.1590111404657364,-0.1317159980535507,0.00864981306145048,0.17165553515457765,7,0.108695652173913,0.521739130434783
8,8,1,-0.1484151035547256,-0.1400370448827743,2,-0.1085959672927856,-0.1016683131456375,GPT2 base,-0.1484151035547256,-0.1400370448827743,-0.1085959672927856,-0.1016683131456375,0.05645017569833804,0.0637929227009918,8,0.300710770913067,0.075366568914956
9,9,1,-0.1017170399427414,-0.0669385939836502,2,-0.1362677216529846,-0.1156801432371139,GPT2 base,-0.1017170399427414,-0.0669385939836502,-0.1362677216529846,-0.1156801432371139,0.34191366538653406,0.1510818421716804,9,0.154865713289152,0.225409836065574
10,10,1,-0.0960001945495605,-0.0748310014605522,2,-0.0749289542436599,-0.0588177181780338,GPT2 base,-0.0960001945495605,-0.0748310014605522,-0.0749289542436599,-0.0588177181780338,0.22051198113020093,0.21502016447786407,10,0.1525,0.268196721311475
11,11,1,-0.0999737605452537,-0.1028155833482742,2,-0.0621601790189743,-0.0693083181977272,GPT2 base,-0.0999737605452537,-0.1028155833482742,-0.0621601790189743,-0.0693083181977272,-0.02842568677542281,-0.11499547285040713,11,0.14484126984127,0.290816326530612
12,12,1,-0.112549640238285,-0.1030545309185981,2,-0.0564976148307323,-0.0530952177941799,GPT2 base,-0.112549640238285,-0.1030545309185981,-0.0564976148307323,-0.0530952177941799,0.08436374651739689,0.0602219588693439,12,0.429122807017544,0.182782537739698
13,13,1,-0.09797865152359,-0.0809627398848533,2,-0.0281165167689323,-0.0299225524067878,GPT2 base,-0.09797865152359,-0.0809627398848533,-0.0281165167689323,-0.0299225524067878,0.17366958387501225,-0.06423397509363964,13,-0.0181818181818182,0.232142857142857
14,14,1,-0.1238763555884361,-0.1374551355838775,2,-0.0765892043709755,-0.059653140604496,GPT2 base,-0.1238763555884361,-0.1374551355838775,-0.0765892043709755,-0.059653140604496,-0.10961559153834997,0.22112860298752027,14,0.411485524442335,0.137579169598874
15,15,1,-0.1413736194372177,-0.1272565424442291,2,-0.0204316042363643,-0.0173608884215354,GPT2 base,-0.1413736194372177,-0.1272565424442291,-0.0204316042363643,-0.0173608884215354,0.09985651530452494,0.15029244788148455,15,0.107131435881036,0.338559322033898
16,16,1,-0.106832668185234,-0.0754945874214172,2,-0.0395086519420146,-0.03814048320055,GPT2 base,-0.106832668185234,-0.0754945874214172,-0.0395086519420146,-0.03814048320055,0.29333799572880304,0.03462959818200341,16,0.207221860767729,0.250615763546798
17,17,1,-0.0411908328533172,-0.0216256771236658,2,-0.0557337924838066,-0.0289556086063385,GPT2 base,-0.0411908328533172,-0.0216256771236658,-0.0557337924838066,-0.0289556086063385,0.47498810716753376,0.48046584817009313,17,0.108139200460167,0.266078184110971
18,18,1,-0.1305925548076629,-0.1213700473308563,2,-0.1531764268875122,-0.1499632447957992,GPT2 base,-0.1305925548076629,-0.1213700473308563,-0.1531764268875122,-0.1499632447957992,0.07062046906417865,0.02097700120706343,18,0.017825311942959,0.109090909090909
19,19,1,-0.0109141282737255,-0.0022739842534065,2,-0.0109206913039088,-0.0104390894994139,GPT2 base,-0.0109141282737255,-0.0022739842534065,-0.0109206913039088,-0.0104390894994139,0.791647651889812,0.044099937549056376,19,0.254545454545455,0.191465677179963
20,20,1,-0.1541277021169662,-0.1381664425134658,2,-0.0859104245901107,-0.0708304271101951,GPT2 base,-0.1541277021169662,-0.1381664425134658,-0.0859104245901107,-0.0708304271101951,0.10355866845654736,0.17553163718913195,20,0.16271186440678,0.207407407407407
21,21,1,-0.1380735337734222,-0.120465487241745,2,-0.0881742537021637,-0.0697711184620857,GPT2 base,-0.1380735337734222,-0.120465487241745,-0.0881742537021637,-0.0697711184620857,0.12752658710518636,0.20871325208195562,21,0.114102564102564,0.316666666666667
22,22,1,-0.0890317782759666,-0.0878064855933189,2,-0.0306457839906215,-0.0186650045216083,GPT2 base,-0.0890317782759666,-0.0878064855933189,-0.0306457839906215,-0.0186650045216083,0.013762419513285884,0.3909438072355945,22,0.252902757619739,-0.0201471058522545
23,23,1,-0.0923991650342941,-0.1023692339658737,2,-0.0085572144016623,0.0022065583616495,GPT2 base,-0.0923991650342941,-0.1023692339658737,-0.0085572144016623,0.0022065583616495,-0.10790215396296272,1.2578594222461996,23,0.124113475177305,0.155945419103314
24,24,1,-0.0251986440271139,0.0332841351628303,2,-0.0550722032785415,-0.0583285093307495,GPT2 base,-0.0251986440271139,0.0332841351628303,-0.0550722032785415,-0.0583285093307495,2.320870088367309,-0.05912794219868796,24,0.297619047619048,0.516666666666667
25,25,1,-0.1062903106212616,-0.0931482166051864,2,-0.0802519097924232,-0.0374696850776672,GPT2 base,-0.1062903106212616,-0.0931482166051864,-0.0802519097924232,-0.0374696850776672,0.12364338705250084,0.5330991477388516,25,0.129761904761905,-0.068609022556391
26,26,1,-0.0673789083957672,-0.0510993339121341,2,-0.0206532031297683,-0.0364363491535186,GPT2 base,-0.0673789083957672,-0.0510993339121341,-0.0206532031297683,-0.0364363491535186,0.24161232158898843,-0.7641984598990078,26,0.0784313725490196,0.0717022441160372
27,27,1,-0.0029217153787612,-0.002385682426393,2,-0.0465390868484973,-0.0426790565252304,GPT2 base,-0.0029217153787612,-0.002385682426393,-0.0465390868484973,-0.0426790565252304,0.18346515073466077,0.0829416858958318,27,-0.0392156862745098,0.128946493851778
28,28,1,-0.0531672835350036,-0.0484998598694801,2,-0.0730616897344589,-0.0788816809654235,GPT2 base,-0.0531672835350036,-0.0484998598694801,-0.0730616897344589,-0.0788816809654235,0.08778751433577799,-0.07965859059812654,28,0.143633540372671,0.12750626566416
29,29,1,-0.0530021153390407,-0.022806067019701,2,-0.0711134076118469,-0.0510045550763607,GPT2 base,-0.0530021153390407,-0.022806067019701,-0.0711134076118469,-0.0510045550763607,0.5697140222835156,0.28277160680085633,29,0.292529817953547,0.0562962962962963
30,30,1,-0.1008210182189941,-0.0178644210100173,2,-0.0314412005245685,-0.0200574472546577,GPT2 base,-0.1008210182189941,-0.0178644210100173,-0.0314412005245685,-0.0200574472546577,0.8228105475862796,0.3620648410360607,30,0.139423076923077,0.142857142857143
31,31,1,0.0302949361503124,0.1250291317701339,2,-0.0753184631466865,-0.0931372791528701,GPT2 base,0.0302949361503124,0.1250291317701339,-0.0753184631466865,-0.0931372791528701,3.127063716186264,-0.2365796547319421,31,0.262033898305085,0.0842857142857143
32,32,1,0.0553586035966873,0.0199128445237875,2,-0.0582299977540969,0.0298184901475906,GPT2 base,0.0553586035966873,0.0199128445237875,-0.0582299977540969,0.0298184901475906,-0.6402935906970909,1.5120812518920739,32,0.217194570135747,-0.0444711538461539
33,33,1,0.074892409145832,0.0703394338488578,2,-0.0810566693544387,-0.0671622976660728,GPT2 base,0.074892409145832,0.0703394338488578,-0.0810566693544387,-0.0671622976660728,-0.06079354835693114,0.17141552692733522,33,0.314340588988476,-0.0331278890600925
34,34,1,0.0027651991695165,-0.0017999252304434,2,-0.0674995481967926,-0.0226092711091041,GPT2 base,0.0027651991695165,-0.0017999252304434,-0.0674995481967926,-0.0226092711091041,-1.6509206462542518,0.6650455934432694,34,0.153743315508021,0.0784313725490196
35,35,1,-0.0964351668953895,-0.0937445759773254,2,-0.1102987080812454,-0.1114769726991653,GPT2 base,-0.0964351668953895,-0.0937445759773254,-0.1102987080812454,-0.1114769726991653,0.027900516011786346,-0.010682487931336467,35,0.192006269592476,0.187062937062937
36,36,1,-0.0507322326302528,-0.0599269643425941,2,-0.1283346563577652,-0.1249794885516166,GPT2 base,-0.0507322326302528,-0.0599269643425941,-0.1283346563577652,-0.1249794885516166,-0.18124043109544255,0.026143895198466285,36,0.194078947368421,0.235338345864662
37,37,1,-0.0250558070838451,-0.0002058767713606,2,-0.0232265479862689,0.0003501623868942,GPT2 base,-0.0250558070838451,-0.0002058767713606,-0.0232265479862689,0.0003501623868942,0.9917832712124711,1.0150759547695682,37,0.0778529980657641,0.211063829787234
38,38,1,-0.008590618148446,-0.0059973495081067,2,-0.0793114751577377,-0.0489896945655345,GPT2 base,-0.008590618148446,-0.0059973495081067,-0.0793114751577377,-0.0489896945655345,0.3018721814341625,0.3823126544033897,38,-0.0090909090909091,0.515856236786469
39,39,1,-0.071738488972187,-0.0731401145458221,2,-0.0572998821735382,-0.040714330971241,GPT2 base,-0.071738488972187,-0.0731401145458221,-0.0572998821735382,-0.040714330971241,-0.0195379857272783,0.2894517505649709,39,0.0629074315514994,0.305690072639225
40,40,1,-0.1208086907863617,-0.1052282750606536,2,-0.1119540259242057,-0.0930164158344268,GPT2 base,-0.1208086907863617,-0.1052282750606536,-0.1119540259242057,-0.0930164158344268,0.12896767297363174,0.16915523969276375,40,0.243225158916025,0.167755102040816
41,41,1,-0.0782492384314537,-0.0512165687978267,2,-0.0485734678804874,-0.0356666445732116,GPT2 base,-0.0782492384314537,-0.0512165687978267,-0.0485734678804874,-0.0356666445732116,0.3454687889046692,0.2657175587922278,41,0.370612244897959,0.0592857142857143
42,42,1,-0.0249904729425907,-0.0365157723426818,2,-0.0433189049363136,-0.0252705197781324,GPT2 base,-0.0249904729425907,-0.0365157723426818,-0.0433189049363136,-0.0252705197781324,-0.46118772648151024,0.41663992163965125,42,0.200206398348813,0.203252032520325
43,43,1,0.0312317665666341,0.0181549824774265,2,-0.0601999871432781,-0.0561580583453178,GPT2 base,0.0312317665666341,0.0181549824774265,-0.0601999871432781,-0.0561580583453178,-0.4187013904995674,0.06714168872395884,43,0.236702127659574,0.341346153846154
44,44,1,-0.051956757903099,-0.0669886171817779,2,-0.0953172966837883,-0.1014177426695823,GPT2 base,-0.051956757903099,-0.0669886171817779,-0.0953172966837883,-0.1014177426695823,-0.28931480495210643,-0.06400145826661459,44,0.107142857142857,0.0035714285714285
45,45,1,-0.0171074829995632,-0.0242374837398529,2,-0.1169900596141815,-0.101282000541687,GPT2 base,-0.0171074829995632,-0.0242374837398529,-0.1169900596141815,-0.101282000541687,-0.41677672516008035,0.13426832266175184,45,0.0818428184281843,0.102083333333333
46,46,1,-0.0362632274627685,-0.0204219743609428,2,-0.0297069083899259,-0.0169867184013128,GPT2 base,-0.0362632274627685,-0.0204219743609428,-0.0297069083899259,-0.0169867184013128,0.43684068435689943,0.4281896258490071,46,0.0089605734767025,0.407692307692308
